x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.6666666667e-04,-1.2959765671e-20,-3.6817999195e-05,4.9852165876e-04,1.4807861563e-05,-3.6641444564e-05,4.7074344930e-04
1.3333333333e-03,-2.5865108528e-20,-8.0214235962e-05,9.9494984207e-04,2.9597259209e-05,-7.9477954341e-05,9.3939328330e-04
2.0000000000e-03,-3.8716117593e-20,-1.3016085658e-04,1.4892879743e-03,4.4365416694e-05,-1.2848173861e-04,1.4059537249e-03
2.6666666667e-03,-5.1512881827e-20,-1.8663005294e-04,1.9815394775e-03,5.9109596104e-05,-1.8362506277e-04,1.8704289909e-03
3.3333333333e-03,-6.4255490132e-20,-2.4959406253e-04,2.4717077715e-03,7.3827097581e-05,-2.4488024823e-04,2.3328232922e-03
4.0000000000e-03,-7.6944031352e-20,-3.1902516840e-04,2.9597962737e-03,8.8515259047e-05,-3.1221967235e-04,2.7931408339e-03
4.6666666667e-03,-8.9578594271e-20,-3.9489569913e-04,3.4458083996e-03,1.0317145593e-04,-3.8561576838e-04,3.2513858147e-03
5.3333333333e-03,-1.0215926761e-19,-4.7717802879e-04,3.9297475619e-03,1.1779310089e-04,-4.6504102533e-04,3.7075624277e-03
6.0000000000e-03,-1.1468614005e-19,-5.6584457694e-04,4.4116171715e-03,1.3237764356e-04,-5.5046798793e-04,4.1616748598e-03
6.6666666667e-03,-1.2715930017e-19,-6.6086780856e-04,4.8914206367e-03,1.4692257026e-04,-6.4186925654e-04,4.6137272923e-03
7.3333333333e-03,-1.3957883655e-19,-7.6222023404e-04,5.3691613637e-03,1.6142540373e-04,-7.3921748709e-04,5.0637239002e-03
8.0000000000e-03,-1.5194483765e-19,-8.6987440915e-04,5.8448427565e-03,1.7588370287e-04,-8.4248539095e-04,5.5116688528e-03
8.6666666667e-03,-1.6425739192e-19,-9.8380293502e-04,6.3184682165e-03,1.9029506249e-04,-9.5164573490e-04,5.9575663134e-03
9.3333333333e-03,-1.7651658773e-19,-1.1039784581e-03,6.7900411433e-03,2.0465711300e-04,-1.0666713410e-03,6.4014204394e-03
1.0000000000e-02,-1.8872251338e-19,-1.2303736700e-03,7.2595649338e-03,2.1896752021e-04,-1.1875350867e-03,6.8432353823e-03
1.0666666667e-02,-2.0087525713e-19,-1.3629613079e-03,7.7270429829e-03,2.3322398500e-04,-1.3142099044e-03,7.2830152879e-03
1.1333333333e-02,-2.1297490717e-19,-1.5017141539e-03,8.1924786832e-03,2.4742424311e-04,-1.4466687816e-03,7.7207642958e-03
1.2000000000e-02,-2.2502155165e-19,-1.6466050353e-03,8.6558754249e-03,2.6156606486e-04,-1.5848847610e-03,8.1564865399e-03
1.2666666667e-02,-2.3701527863e-19,-1.7976068249e-03,9.1172365962e-03,2.7564725491e-04,-1.7288309401e-03,8.5901861484e-03
1.3333333333e-02,-2.4895617614e-19,-1.9546924402e-03,9.5765655829e-03,2.8966565198e-04,-1.8784804711e-03,9.0218672435e-03
1.4000000000e-02,-2.6084433213e-19,-2.1178348440e-03,1.0033865768e-02,3.0361912858e-04,-2.0338065612e-03,9.4515339415e-03
1.4666666667e-02,-2.7267983451e-19,-2.2870070444e-03,1.0489140534e-02,3.1750559083e-04,-2.1947824723e-03,9.8791903529e-03
1.5333333333e-02,-2.8446277112e-19,-2.4621820941e-03,1.0942393259e-02,3.3132297811e-04,-2.3613815206e-03,1.0304840583e-02
1.6000000000e-02,-2.9619322974e-19,-2.6433330912e-03,1.1393627320e-02,3.4506926289e-04,-2.5335770772e-03,1.0728488729e-02
1.6666666667e-02,-3.0787129810e-19,-2.8304331786e-03,1.1842846091e-02,3.5874245043e-04,-2.7113425674e-03,1.1150138887e-02
1.7333333333e-02,-3.1949706387e-19,-3.0234555441e-03,1.2290052945e-02,3.7234057854e-04,-2.8946514712e-03,1.1569795141e-02
