x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999999888241291046e-03,2.425435070563253248e-07,-4.581707471515983343e-04,3.595559392124414444e-03,1.143834379035979509e-04,-4.552612954284995794e-04,3.457966726273298264e-03
9.999999776482582092e-03,4.482584756715368712e-07,-1.250924193300306797e-03,7.083301898092031479e-03,2.247394440928474069e-04,-1.223771832883358002e-03,6.804352160543203354e-03
1.499999966472387314e-02,6.199501285664155148e-07,-2.372498158365488052e-03,1.046429295092821121e-02,3.305677964817732573e-04,-2.303107641637325287e-03,1.004044804722070694e-02
1.999999955296516418e-02,7.594647399855602998e-07,-3.816347336396574974e-03,1.373959612101316452e-02,4.314021789468824863e-04,-3.689092583954334259e-03,1.316755078732967377e-02
2.499999850988388062e-02,8.698692113284778316e-07,-5.575228016823530197e-03,1.691027916967868805e-02,5.268072127364575863e-04,-5.376019049435853958e-03,1.618696935474872589e-02
2.999999932944774628e-02,9.528493478683230933e-07,-7.641293574124574661e-03,1.997741125524044037e-02,6.163759389892220497e-04,-7.356802467256784439e-03,1.910001598298549652e-02
3.500000014901161194e-02,1.009925313155690674e-06,-1.000613346695899963e-02,2.294205687940120697e-02,6.997392629273235798e-04,-9.623240679502487183e-03,2.190799824893474579e-02
3.999999910593032837e-02,1.044901409841259010e-06,-1.266096346080303192e-02,2.580528520047664642e-02,7.765555637888610363e-04,-1.216624397784471512e-02,2.461225353181362152e-02
4.499999806284904480e-02,1.057805889104201924e-06,-1.559658441692590714e-02,2.856817469000816345e-02,8.465348510071635246e-04,-1.497598178684711456e-02,2.721408940851688385e-02
4.999999701976776123e-02,1.052354150488099549e-06,-1.880352012813091278e-02,3.123178705573081970e-02,9.093916742131114006e-04,-1.804213225841522217e-02,2.971483580768108368e-02
5.499999970197677612e-02,1.029127929541573394e-06,-2.227210439741611481e-02,3.379720449447631836e-02,9.649152634665369987e-04,-2.135409973561763763e-02,3.211583942174911499e-02
5.999999865889549255e-02,9.904184707920649089e-07,-2.599252574145793915e-02,3.626548498868942261e-02,1.012903638184070587e-03,-2.490108832716941833e-02,3.441841900348663330e-02
6.499999761581420898e-02,9.367805091642367188e-07,-2.995490841567516327e-02,3.863770887255668640e-02,1.053215004503726959e-03,-2.867231518030166626e-02,3.662391752004623413e-02
7.000000029802322388e-02,8.722442998987389728e-07,-3.414931893348693848e-02,4.091495648026466370e-02,1.085719908587634563e-03,-3.265709429979324341e-02,3.873369097709655762e-02
7.499999552965164185e-02,7.959084769026958384e-07,-3.856587409973144531e-02,4.309828579425811768e-02,1.110344543121755123e-03,-3.684487938880920410e-02,4.074904322624206543e-02
7.999999821186065674e-02,7.113335982467106078e-07,-4.319475218653678894e-02,4.518879577517509460e-02,1.127068884670734406e-03,-4.122545570135116577e-02,4.267137497663497925e-02
8.500000089406967163e-02,6.173199835757259279e-07,-4.802621528506278992e-02,4.718754813075065613e-02,1.135857892222702503e-03,-4.578883573412895203e-02,4.450200125575065613e-02
8.999999612569808960e-02,5.185625013837125152e-07,-5.305064097046852112e-02,4.909561201930046082e-02,1.136767445132136345e-03,-5.052541568875312805e-02,4.624224826693534851e-02
9.499999880790710449e-02,4.126480916966102086e-07,-5.825858935713768005e-02,5.091407522559165955e-02,1.129881595261394978e-03,-5.542587116360664368e-02,4.789351671934127808e-02
9.999999403953552246e-02,3.038072691197157837e-07,-6.364070624113082886e-02,5.264400318264961243e-02,1.115272054448723793e-03,-6.048119813203811646e-02,4.945709556341171265e-02
1.049999967217445374e-01,1.914577296702191234e-07,-6.918783485889434814e-02,5.428649112582206726e-02,1.093110069632530212e-03,-6.568278372287750244e-02,5.093437805771827698e-02
1.099999994039535522e-01,7.864540663149455213e-08,-7.489107549190521240e-02,5.584260821342468262e-02,1.063563046045601368e-03,-7.102221250534057617e-02,5.232671275734901428e-02
1.149999946355819702e-01,-3.596511533032753505e-08,-8.074157685041427612e-02,5.731341242790222168e-02,1.026836573146283627e-03,-7.649140805006027222e-02,5.363539606332778931e-02
1.199999973177909851e-01,-1.534653790713491617e-07,-8.673073351383209229e-02,5.870002135634422302e-02,9.831654606387019157e-04,-8.208237588405609131e-02,5.486183241009712219e-02
1.250000000000000000e-01,-2.664173734956420958e-07,-9.285008907318115234e-02,6.000348553061485291e-02,9.328231099061667919e-04,-8.778756856918334961e-02,5.600732937455177307e-02
1.299999952316284180e-01,-3.790327127717318945e-07,-9.909130632877349854e-02,6.122489273548126221e-02,8.760995697230100632e-04,-9.359937906265258789e-02,5.707323178648948669e-02
1.349999904632568359e-01,-4.889021170129126403e-07,-1.054463163018226624e-01,6.236531957983970642e-02,8.133204537443816662e-04,-9.951041638851165771e-02,5.806089937686920166e-02
1.400000005960464478e-01,-5.961387614661362022e-07,-1.119071766734123230e-01,6.342584639787673950e-02,7.448138203471899033e-04,-1.055135503411293030e-01,5.897164717316627502e-02
1.449999958276748657e-01,-7.006661348896159325e-07,-1.184660270810127258e-01,6.440754979848861694e-02,6.709306617267429829e-04,-1.116015762090682983e-01,5.980680510401725769e-02
1.499999910593032837e-01,-8.000277489372820128e-07,-1.251151561737060547e-01,6.531149893999099731e-02,5.920847179368138313e-04,-1.177673861384391785e-01,6.056772917509078979e-02
1.550000011920928955e-01,-8.944106184571865015e-07,-1.318470984697341919e-01,6.613881140947341919e-02,5.086433375254273415e-04,-1.240040287375450134e-01,6.125570088624954224e-02
1.599999964237213135e-01,-9.822617812460521236e-07,-1.386544108390808105e-01,6.689052283763885498e-02,4.210294864606112242e-04,-1.303045749664306641e-01,6.187207624316215515e-02
1.649999916553497314e-01,-1.064797174876730423e-06,-1.455297172069549561e-01,6.756775081157684326e-02,3.296704089734703302e-04,-1.366621553897857666e-01,6.241816282272338867e-02
1.700000017881393433e-01,-1.142664132203208283e-06,-1.524659544229507446e-01,6.817156076431274414e-02,2.349693531868979335e-04,-1.430699229240417480e-01,6.289526075124740601e-02
1.749999970197677612e-01,-1.212212964674108662e-06,-1.594559103250503540e-01,6.870301812887191772e-02,1.373925479128956795e-04,-1.495211869478225708e-01,6.330466270446777344e-02
1.799999922513961792e-01,-1.278330501008895226e-06,-1.664927303791046143e-01,6.916322559118270874e-02,3.735537029569968581e-05,-1.560091525316238403e-01,6.364769488573074341e-02
1.850000023841857910e-01,-1.335667775492765941e-06,-1.735694855451583862e-01,6.955324858427047729e-02,-6.468481296906247735e-05,-1.625273227691650391e-01,6.392563134431838989e-02
1.899999976158142090e-01,-1.384994106956582982e-06,-1.806794106960296631e-01,6.987418979406356812e-02,-1.682786387391388416e-04,-1.690689474344253540e-01,6.413976848125457764e-02
1.949999928474426270e-01,-1.426920903213613201e-06,-1.878157854080200195e-01,7.012710720300674438e-02,-2.730062697082757950e-04,-1.756277531385421753e-01,6.429138034582138062e-02
1.999999880790710449e-01,-1.462986688238743227e-06,-1.949721127748489380e-01,7.031309604644775391e-02,-3.784126020036637783e-04,-1.821971833705902100e-01,6.438174098730087280e-02
2.049999982118606567e-01,-1.490416707383701578e-06,-2.021417468786239624e-01,7.043322920799255371e-02,-4.840914043597877026e-04,-1.887710392475128174e-01,6.441210210323333740e-02
2.099999934434890747e-01,-1.512299036221520510e-06,-2.093184143304824829e-01,7.048860937356948853e-02,-5.895872018299996853e-04,-1.953430920839309692e-01,6.438372284173965454e-02
2.149999886751174927e-01,-1.524753201920248102e-06,-2.164957076311111450e-01,7.048027962446212769e-02,-6.945160566829144955e-04,-2.019073218107223511e-01,6.429785490036010742e-02
2.199999988079071045e-01,-1.529898554508690722e-06,-2.236674278974533081e-01,7.040935754776000977e-02,-7.984681287780404091e-04,-2.084577977657318115e-01,6.415573507547378540e-02
2.249999940395355225e-01,-1.528736220279824920e-06,-2.308273762464523315e-01,7.027690857648849487e-02,-9.010325884446501732e-04,-2.149885147809982300e-01,6.395857036113739014e-02
2.299999892711639404e-01,-1.521947865512629505e-06,-2.379694581031799316e-01,7.008404284715652466e-02,-1.001864904537796974e-03,-2.214939892292022705e-01,6.370762735605239868e-02
2.349999994039535522e-01,-1.505757836639531888e-06,-2.450879216194152832e-01,6.983180344104766846e-02,-1.100594061426818371e-03,-2.279687523841857910e-01,6.340409815311431885e-02
2.399999946355819702e-01,-1.484426547904149629e-06,-2.521766126155853271e-01,6.952129304409027100e-02,-1.196879893541336060e-03,-2.344071418046951294e-01,6.304914504289627075e-02
2.449999898672103882e-01,-1.453012259844399523e-06,-2.592298984527587891e-01,6.915359199047088623e-02,-1.290383748710155487e-03,-2.408041656017303467e-01,6.264402717351913452e-02
2.500000000000000000e-01,-1.421332854079082608e-06,-2.662421464920043945e-01,6.872978806495666504e-02,-1.380817964673042297e-03,-2.471545189619064331e-01,6.218987703323364258e-02
2.549999952316284180e-01,-1.378169599774992093e-06,-2.732074856758117676e-01,6.825095415115356445e-02,-1.467875321395695210e-03,-2.534535229206085205e-01,6.168791279196739197e-02
2.599999904632568359e-01,-1.327670815953752026e-06,-2.801206707954406738e-01,6.771819293498992920e-02,-1.551279565319418907e-03,-2.596961557865142822e-01,6.113924458622932434e-02
2.649999856948852539e-01,-1.272225972570595331e-06,-2.869762778282165527e-01,6.713257730007171631e-02,-1.630769809707999229e-03,-2.658779323101043701e-01,6.054504588246345520e-02
2.699999809265136719e-01,-1.212518441207066644e-06,-2.937689423561096191e-01,6.649518758058547974e-02,-1.706128241494297981e-03,-2.719943225383758545e-01,5.990643054246902466e-02
2.750000059604644775e-01,-1.150569687524694018e-06,-3.004935383796691895e-01,6.580709666013717651e-02,-1.777127268724143505e-03,-2.780410051345825195e-01,5.922459438443183899e-02
2.800000011920928955e-01,-1.076291823665087577e-06,-3.071447908878326416e-01,6.506943702697753906e-02,-1.843592151999473572e-03,-2.840137183666229248e-01,5.850062146782875061e-02
2.849999964237213135e-01,-1.009334482660051435e-06,-3.137180209159851074e-01,6.428325921297073364e-02,-1.905288314446806908e-03,-2.899084091186523438e-01,5.773559957742691040e-02
2.899999916553497314e-01,-9.258978934667538851e-07,-3.202079534530639648e-01,6.344965100288391113e-02,-1.962117385119199753e-03,-2.957212030887603760e-01,5.693064630031585693e-02
2.949999868869781494e-01,-8.534908602086943574e-07,-3.266101181507110596e-01,6.256969273090362549e-02,-2.013891935348510742e-03,-3.014484643936157227e-01,5.608685314655303955e-02
2.999999821186065674e-01,-7.640122703378438018e-07,-3.329197764396667480e-01,6.164449080824851990e-02,-2.060509286820888519e-03,-3.070862293243408203e-01,5.520532652735710144e-02
3.050000071525573730e-01,-6.709096851409412920e-07,-3.391322791576385498e-01,6.067511066794395447e-02,-2.101889811456203461e-03,-3.126311600208282471e-01,5.428704619407653809e-02
3.100000023841857910e-01,-5.762021828559227288e-07,-3.452433049678802490e-01,5.966265872120857239e-02,-2.137870527803897858e-03,-3.180795609951019287e-01,5.333313345909118652e-02
3.149999976158142090e-01,-4.876075081483577378e-07,-3.512485325336456299e-01,5.860821530222892761e-02,-2.168465405702590942e-03,-3.234286010265350342e-01,5.234461277723312378e-02
3.199999928474426270e-01,-3.843240392598090693e-07,-3.571436107158660889e-01,5.751287937164306641e-02,-2.193568274378776550e-03,-3.286745846271514893e-01,5.132254585623741150e-02
3.249999880790710449e-01,-2.897994022532657254e-07,-3.629245162010192871e-01,5.637772008776664734e-02,-2.213163767009973526e-03,-3.338146507740020752e-01,5.026791617274284363e-02
