epoch,linear_total,linear_Pi_all,linear_bc,linear_Pi_str,linear_Pi_str_T,linear_Pi_w,linear_Pi_e,linear_pseudo,nonlinear_total,nonlinear_Pi_all,nonlinear_bc,nonlinear_Pi_str,nonlinear_Pi_str_T,nonlinear_Pi_w,nonlinear_Pi_e,nonlinear_pseudo
1.000000000000000000e+00,1.479911804199218750e-01,1.461606770753860474e-01,0.000000000000000000e+00,1.449117809534072876e-01,0.000000000000000000e+00,3.887459570250939578e-06,-1.245000748895108700e-03,1.830510562285780907e-03,8.261736482381820679e-02,7.895634323358535767e-02,0.000000000000000000e+00,8.182364702224731445e-02,0.000000000000000000e+00,2.061647865048144013e-05,2.887917216867208481e-03,3.661021124571561813e-03
2.000000000000000000e+00,1.128766164183616638e-01,1.112449914216995239e-01,0.000000000000000000e+00,1.100588515400886536e-01,0.000000000000000000e+00,3.484001354081556201e-06,-1.182652777060866356e-03,1.631622435525059700e-03,5.649385601282119751e-02,5.323060974478721619e-02,0.000000000000000000e+00,5.592892318964004517e-02,0.000000000000000000e+00,1.832106499932706356e-05,2.716633025556802750e-03,3.263244871050119400e-03
3.000000000000000000e+00,8.264640718698501587e-02,8.121704310178756714e-02,0.000000000000000000e+00,8.009358495473861694e-02,0.000000000000000000e+00,3.103153858319274150e-06,-1.120360568165779114e-03,1.429365482181310654e-03,3.621479868888854980e-02,3.335606679320335388e-02,0.000000000000000000e+00,3.588374704122543335e-02,0.000000000000000000e+00,1.614138091099448502e-05,2.543822862207889557e-03,2.858730964362621307e-03
4.000000000000000000e+00,5.727162584662437439e-02,5.603349581360816956e-02,0.000000000000000000e+00,5.497271195054054260e-02,0.000000000000000000e+00,2.744697667367290705e-06,-1.058039255440235138e-03,1.238131313584744930e-03,2.177328057587146759e-02,1.929701864719390869e-02,0.000000000000000000e+00,2.165370807051658630e-02,0.000000000000000000e+00,1.409667038387851790e-05,2.370786387473344803e-03,2.476262627169489861e-03
5.000000000000000000e+00,3.673806041479110718e-02,3.565641120076179504e-02,0.000000000000000000e+00,3.465858846902847290e-02,0.000000000000000000e+00,2.407386546110501513e-06,-9.954149136319756508e-04,1.081650378182530403e-03,1.316311582922935486e-02,1.099981553852558136e-02,0.000000000000000000e+00,1.318312808871269226e-02,0.000000000000000000e+00,1.216608507093042135e-05,2.195478416979312897e-03,2.163300756365060806e-03
6.000000000000000000e+00,2.097544632852077484e-02,2.005017735064029694e-02,0.000000000000000000e+00,1.911612600088119507e-02,0.000000000000000000e+00,2.089417876049992628e-06,-9.319614619016647339e-04,9.252694435417652130e-04,1.006812136620283127e-02,8.217582479119300842e-03,0.000000000000000000e+00,1.022259052842855453e-02,0.000000000000000000e+00,1.033232547342777252e-05,2.015340607613325119e-03,1.850538887083530426e-03
7.000000000000000000e+00,9.957626461982727051e-03,9.182723239064216614e-03,0.000000000000000000e+00,8.314550854265689850e-03,0.000000000000000000e+00,1.787058181434986182e-06,-8.663851767778396606e-04,7.749028154648840427e-04,1.050284132361412048e-02,8.953035809099674225e-03,0.000000000000000000e+00,1.076704822480678558e-02,0.000000000000000000e+00,8.541315764887258410e-06,1.822553458623588085e-03,1.549805630929768085e-03
8.000000000000000000e+00,3.663793206214904785e-03,3.026612568646669388e-03,0.000000000000000000e+00,2.230460755527019501e-03,0.000000000000000000e+00,1.489932856202358380e-06,-7.946620462462306023e-04,6.371806375682353973e-04,1.072902511805295944e-02,9.454663842916488647e-03,0.000000000000000000e+00,1.107591204345226288e-02,0.000000000000000000e+00,6.912754543009214103e-06,1.628161175176501274e-03,1.274361275136470795e-03
9.000000000000000000e+00,2.043386455625295639e-03,1.542254351079463959e-03,0.000000000000000000e+00,8.291166741400957108e-04,0.000000000000000000e+00,1.190352008961781394e-06,-7.119473302736878395e-04,5.011319881305098534e-04,9.629425592720508575e-03,8.627161383628845215e-03,0.000000000000000000e+00,1.006250828504562378e-02,0.000000000000000000e+00,5.509971742867492139e-06,1.440857071429491043e-03,1.002263976261019707e-03
1.000000000000000000e+01,4.155938047915697098e-03,3.771393559873104095e-03,0.000000000000000000e+00,3.150416770949959755e-03,0.000000000000000000e+00,9.006677146317088045e-07,-6.200762582011520863e-04,3.845446044579148293e-04,7.412229664623737335e-03,6.643140222877264023e-03,0.000000000000000000e+00,7.901805453002452850e-03,0.000000000000000000e+00,4.328191607783082873e-06,1.262992969714105129e-03,7.690892089158296585e-04
1.100000000000000000e+01,7.223188877105712891e-03,6.933092139661312103e-03,0.000000000000000000e+00,6.407740991562604904e-03,0.000000000000000000e+00,6.442288622565683909e-07,-5.247072549536824226e-04,2.900967083405703306e-04,4.685356281697750092e-03,4.105162806808948517e-03,0.000000000000000000e+00,5.196630023419857025e-03,0.000000000000000000e+00,3.344909600855316967e-06,1.094812178052961826e-03,5.801934166811406612e-04
1.200000000000000000e+01,9.573467075824737549e-03,9.364828467369079590e-03,0.000000000000000000e+00,8.932212367653846741e-03,0.000000000000000000e+00,4.372419653009274043e-07,-4.321790183894336224e-04,2.086383756250143051e-04,2.147735096514225006e-03,1.730458345264196396e-03,0.000000000000000000e+00,2.663546707481145859e-03,0.000000000000000000e+00,2.533819497330114245e-06,9.356222581118345261e-04,4.172767512500286102e-04
1.300000000000000000e+01,1.060709077864885330e-02,1.046373974531888962e-02,0.000000000000000000e+00,1.011854317039251328e-02,0.000000000000000000e+00,2.792471036627830472e-07,-3.449175565037876368e-04,1.433511642972007394e-04,5.589049542322754860e-04,2.722026547417044640e-04,0.000000000000000000e+00,1.056600827723741531e-03,0.000000000000000000e+00,1.878068928817810956e-06,7.862761849537491798e-04,2.867023285944014788e-04
1.400000000000000000e+01,1.029971707612276077e-02,1.020211260765790939e-02,0.000000000000000000e+00,9.937915951013565063e-03,0.000000000000000000e+00,1.647235450263906387e-07,-2.640321617946028709e-04,9.760422108229249716e-05,2.136231923941522837e-04,1.841475022956728935e-05,0.000000000000000000e+00,6.655603647232055664e-04,0.000000000000000000e+00,1.362762986900634132e-06,6.485083722509443760e-04,1.952084421645849943e-04
1.500000000000000000e+01,8.912736549973487854e-03,8.851145394146442413e-03,0.000000000000000000e+00,8.660991676151752472e-03,0.000000000000000000e+00,8.662922112989690504e-08,-1.900666975416243076e-04,6.159094482427462935e-05,7.971121231094002724e-04,6.739302189089357853e-04,0.000000000000000000e+00,1.197214820422232151e-03,0.000000000000000000e+00,9.710659014672273770e-07,5.242556217126548290e-04,1.231818896485492587e-04
1.600000000000000000e+01,6.861701607704162598e-03,6.824733223766088486e-03,0.000000000000000000e+00,6.701256614178419113e-03,0.000000000000000000e+00,3.784928281902466551e-08,-1.234387164004147053e-04,3.696851854328997433e-05,1.640249742195010185e-03,1.566312741488218307e-03,0.000000000000000000e+00,1.981215318664908409e-03,0.000000000000000000e+00,6.847343456684029661e-07,4.155873320996761322e-04,7.393703708657994866e-05
1.700000000000000000e+01,4.611077718436717987e-03,4.589948803186416626e-03,0.000000000000000000e+00,4.525307100266218185e-03,0.000000000000000000e+00,1.159095752711891691e-08,-6.463008321588858962e-05,2.112898073391988873e-05,2.136833267286419868e-03,2.094575203955173492e-03,0.000000000000000000e+00,2.418196061626076698e-03,0.000000000000000000e+00,4.839698704017791897e-07,3.241049998905509710e-04,4.225796146783977747e-05
1.800000000000000000e+01,2.626800676807761192e-03,2.614775439724326134e-03,0.000000000000000000e+00,2.600304782390594482e-03,0.000000000000000000e+00,1.474792510336442319e-09,-1.446928763471078128e-05,1.202522253151983023e-05,2.078528050333261490e-03,2.054477576166391373e-03,0.000000000000000000e+00,2.304828027263283730e-03,0.000000000000000000e+00,3.491008442324528005e-07,2.506994351278990507e-04,2.405044506303966045e-05
1.900000000000000000e+01,1.339442329481244087e-03,1.332688494585454464e-03,0.000000000000000000e+00,1.357850152999162674e-03,0.000000000000000000e+00,1.335910271293982987e-09,2.516298809496220201e-05,6.753796242264797911e-06,1.631499966606497765e-03,1.617992413230240345e-03,0.000000000000000000e+00,1.813370734453201294e-03,0.000000000000000000e+00,2.625860986427142052e-07,1.956409396370872855e-04,1.350759248452959582e-05
2.000000000000000000e+01,1.088594784960150719e-03,1.084420015104115009e-03,0.000000000000000000e+00,1.138734864071011543e-03,0.000000000000000000e+00,5.526052504478684568e-09,5.432034959085285664e-05,4.174763034825446084e-06,1.130108488723635674e-03,1.121758949011564255e-03,0.000000000000000000e+00,1.280431635677814484e-03,0.000000000000000000e+00,2.105192606904893182e-07,1.588832092238590121e-04,8.349526069650892168e-06
