x_dq,u_dq,w_dq,phi_dq,x_fem,u_fem,w_fem,phi_fem,x_pinn,u_pinn,w_pinn,phi_pinn
0.0000000000e+00,3.8727476938e-26,-5.8868992013e-29,1.6848568558e-27,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0892790595e-03,1.1244394331e-04,-4.3528452803e-04,3.5408019329e-03,6.6666666667e-04,1.4807861563e-05,-3.6641444564e-05,4.7074344930e-04,5.0000000000e-03,1.1438343790e-04,-4.5526129543e-04,3.4579667263e-03
2.0253513193e-02,4.3096947744e-04,-3.7623191645e-03,1.3384600371e-02,1.3333333333e-03,2.9597259209e-05,-7.9477954341e-05,9.3939328330e-04,1.0000000000e-02,2.2473944409e-04,-1.2237718329e-03,6.8043521605e-03
4.5184002323e-02,8.5219332458e-04,-1.5167835353e-02,2.7372234347e-02,2.0000000000e-03,4.4365416694e-05,-1.2848173861e-04,1.4059537249e-03,1.5000000000e-02,3.3056779648e-04,-2.3031076416e-03,1.0040448047e-02
7.9373233584e-02,1.1307251084e-03,-4.0713311375e-02,4.2444591746e-02,2.6666666667e-03,5.9109596104e-05,-1.8362506277e-04,1.8704289909e-03,2.0000000000e-02,4.3140217895e-04,-3.6890925840e-03,1.3167550787e-02
1.2212521282e-01,9.5641278828e-04,-8.4506359201e-02,5.5296954138e-02,3.3333333333e-03,7.3827097581e-05,-2.4488024823e-04,2.3328232922e-03,2.5000000000e-02,5.2680651424e-04,-5.3760204464e-03,1.6186969355e-02
1.7256963303e-01,1.8048577396e-04,-1.4638860235e-01,6.3041788683e-02,4.0000000000e-03,8.8515259047e-05,-3.1221967235e-04,2.7931408339e-03,3.0000000000e-02,6.1637593899e-04,-7.3568024673e-03,1.9100015983e-02
2.2967959127e-01,-9.8150969393e-04,-2.2096736847e-01,6.3733026012e-02,4.6666666667e-03,1.0317145593e-04,-3.8561576838e-04,3.2513858147e-03,3.5000000000e-02,6.9973926293e-04,-9.6232406795e-03,2.1907998249e-02
2.9229249350e-01,-1.9776417414e-03,-2.9831442736e-01,5.6662578804e-02,5.3333333333e-03,1.1779310089e-04,-4.6504102533e-04,3.7075624277e-03,4.0000000000e-02,7.7655556379e-04,-1.2166243978e-02,2.4612253532e-02
3.5913372158e-01,-2.2180866365e-03,-3.6609440520e-01,4.2409850887e-02,6.0000000000e-03,1.3237764356e-04,-5.5046798793e-04,4.1616748598e-03,4.5000000000e-02,8.4653362865e-04,-1.4975976199e-02,2.7214091271e-02
4.2884258086e-01,-1.4590943668e-03,-4.1246892590e-01,2.2680781130e-02,6.6666666667e-03,1.4692257026e-04,-6.4186925654e-04,4.6137272923e-03,5.0000000000e-02,9.0939179063e-04,-1.8042132258e-02,2.9714837670e-02
5.0000000000e-01,1.7908577340e-16,-4.2895266680e-01,2.8646591448e-15,7.3333333333e-03,1.6142540373e-04,-7.3921748709e-04,5.0637239002e-03,5.5000000000e-02,9.6491526347e-04,-2.1354099736e-02,3.2115839422e-02
5.7115741914e-01,1.4590943668e-03,-4.1246892590e-01,-2.2680781130e-02,8.0000000000e-03,1.7588370287e-04,-8.4248539095e-04,5.5116688528e-03,6.0000000000e-02,1.0129036382e-03,-2.4901088327e-02,3.4418419003e-02
6.4086627842e-01,2.2180866365e-03,-3.6609440520e-01,-4.2409850887e-02,8.6666666667e-03,1.9029506249e-04,-9.5164573490e-04,5.9575663134e-03,6.5000000000e-02,1.0532150045e-03,-2.8672315180e-02,3.6623917520e-02
7.0770750650e-01,1.9776417414e-03,-2.9831442736e-01,-5.6662578804e-02,9.3333333333e-03,2.0465711300e-04,-1.0666713410e-03,6.4014204394e-03,7.0000000000e-02,1.0857199086e-03,-3.2657094300e-02,3.8733690977e-02
7.7032040873e-01,9.8150969393e-04,-2.2096736847e-01,-6.3733026012e-02,1.0000000000e-02,2.1896752021e-04,-1.1875350867e-03,6.8432353823e-03,7.5000000000e-02,1.1103488505e-03,-3.6844868213e-02,4.0749058127e-02
8.2743036697e-01,-1.8048577396e-04,-1.4638860235e-01,-6.3041788683e-02,1.0666666667e-02,2.3322398500e-04,-1.3142099044e-03,7.2830152879e-03,8.0000000000e-02,1.1270688847e-03,-4.1225455701e-02,4.2671374977e-02
8.7787478718e-01,-9.5641278828e-04,-8.4506359201e-02,-5.5296954138e-02,1.1333333333e-02,2.4742424311e-04,-1.4466687816e-03,7.7207642958e-03,8.5000000000e-02,1.1358578922e-03,-4.5788835734e-02,4.4502001256e-02
9.2062676642e-01,-1.1307251084e-03,-4.0713311375e-02,-4.2444591746e-02,1.2000000000e-02,2.6156606486e-04,-1.5848847610e-03,8.1564865399e-03,9.0000000000e-02,1.1367722182e-03,-5.0525404513e-02,4.6242248267e-02
9.5481599768e-01,-8.5219332458e-04,-1.5167835353e-02,-2.7372234347e-02,1.2666666667e-02,2.7564725491e-04,-1.7288309401e-03,8.5901861484e-03,9.5000000000e-02,1.1298815953e-03,-5.5425871164e-02,4.7893516719e-02
9.7974648681e-01,-4.3096947744e-04,-3.7623191645e-03,-1.3384600371e-02,1.3333333333e-02,2.8966565198e-04,-1.8784804711e-03,9.0218672435e-03,1.0000000000e-01,1.1152694933e-03,-6.0481201857e-02,4.9457099289e-02
9.9491072094e-01,-1.1244394331e-04,-4.3528452803e-04,-3.5408019329e-03,1.4000000000e-02,3.0361912858e-04,-2.0338065612e-03,9.4515339415e-03,1.0500000000e-01,1.0931100696e-03,-6.5682783723e-02,5.0934378058e-02
1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.4666666667e-02,3.1750559083e-04,-2.1947824723e-03,9.8791903529e-03,1.1000000000e-01,1.0635630460e-03,-7.1022212505e-02,5.2326712757e-02
,,,,1.5333333333e-02,3.3132297811e-04,-2.3613815206e-03,1.0304840583e-02,1.1500000000e-01,1.0268321494e-03,-7.6491385698e-02,5.3635388613e-02
,,,,1.6000000000e-02,3.4506926289e-04,-2.5335770772e-03,1.0728488729e-02,1.2000000000e-01,9.8316546064e-04,-8.2082375884e-02,5.4861832410e-02
,,,,1.6666666667e-02,3.5874245043e-04,-2.7113425674e-03,1.1150138887e-02,1.2500000000e-01,9.3282310991e-04,-8.7787568569e-02,5.6007329375e-02
,,,,1.7333333333e-02,3.7234057854e-04,-2.8946514712e-03,1.1569795141e-02,1.3000000000e-01,8.7609956972e-04,-9.3599379063e-02,5.7073231786e-02
,,,,1.8000000000e-02,3.8586171735e-04,-3.0834773224e-03,1.1987461576e-02,1.3500000000e-01,8.1331183901e-04,-9.9510446191e-02,5.8060903102e-02
,,,,1.8666666667e-02,3.9930396906e-04,-3.2777937095e-03,1.2403142265e-02,1.4000000000e-01,7.4481382035e-04,-1.0551355034e-01,5.8971647173e-02
,,,,1.9333333333e-02,4.1266546766e-04,-3.4775742750e-03,1.2816841279e-02,1.4500000000e-01,6.7093066173e-04,-1.1160157621e-01,5.9806805104e-02
,,,,2.0000000000e-02,4.2594437874e-04,-3.6827927153e-03,1.3228562683e-02,1.5000000000e-01,5.9207715094e-04,-1.1776739359e-01,6.0567729175e-02
,,,,2.0666666667e-02,4.3913889921e-04,-3.8934227811e-03,1.3638310534e-02,1.5500000000e-01,5.0864333753e-04,-1.2400402874e-01,6.1255700886e-02
,,,,2.1333333333e-02,4.5224725707e-04,-4.1094382767e-03,1.4046088887e-02,1.6000000000e-01,4.2102948646e-04,-1.3030457497e-01,6.1872076243e-02
,,,,2.2000000000e-02,4.6526771115e-04,-4.3308130606e-03,1.4451901788e-02,1.6500000000e-01,3.2967040897e-04,-1.3666217029e-01,6.2418162823e-02
,,,,2.2666666667e-02,4.7819855092e-04,-4.5575210448e-03,1.4855753278e-02,1.7000000000e-01,2.3496935319e-04,-1.4306992292e-01,6.2895260751e-02
,,,,2.3333333333e-02,4.9103809619e-04,-4.7895361950e-03,1.5257647393e-02,1.7500000000e-01,1.3739254791e-04,-1.4952118695e-01,6.3304662704e-02
,,,,2.4000000000e-02,5.0378469692e-04,-5.0268325306e-03,1.5657588163e-02,1.8000000000e-01,3.7355373934e-05,-1.5600921214e-01,6.3647709787e-02
,,,,2.4666666667e-02,5.1643673297e-04,-5.2693841247e-03,1.6055579614e-02,1.8500000000e-01,-6.4684812969e-05,-1.6252732277e-01,6.3925631344e-02
,,,,2.5333333333e-02,5.2899261386e-04,-5.5171651036e-03,1.6451625762e-02,1.9000000000e-01,-1.6827863874e-04,-1.6906894743e-01,6.4139768481e-02
,,,,2.6000000000e-02,5.4145077853e-04,-5.7701496470e-03,1.6845730622e-02,1.9500000000e-01,-2.7300626971e-04,-1.7562775314e-01,6.4291380346e-02
,,,,2.6666666667e-02,5.5380969513e-04,-6.0283119881e-03,1.7237898200e-02,2.0000000000e-01,-3.7841859739e-04,-1.8219722807e-01,6.4381726086e-02
,,,,2.7333333333e-02,5.6606786078e-04,-6.2916264133e-03,1.7628132499e-02,2.0500000000e-01,-4.8409140436e-04,-1.8877103925e-01,6.4412102103e-02
,,,,2.8000000000e-02,5.7822380133e-04,-6.5600672620e-03,1.8016437514e-02,2.1000000000e-01,-5.8958720183e-04,-1.9534309208e-01,6.4383722842e-02
,,,,2.8666666667e-02,5.9027607113e-04,-6.8336089268e-03,1.8402817236e-02,2.1500000000e-01,-6.9452112075e-04,-2.0190732181e-01,6.4297847450e-02
,,,,2.9333333333e-02,6.0222325283e-04,-7.1122258535e-03,1.8787275651e-02,2.2000000000e-01,-7.9846812878e-04,-2.0845779777e-01,6.4155735075e-02
,,,,3.0000000000e-02,6.1406395712e-04,-7.3958925405e-03,1.9169816736e-02,2.2500000000e-01,-9.0103258844e-04,-2.1498851478e-01,6.3958570361e-02
,,,,3.0666666667e-02,6.2579682253e-04,-7.6845835392e-03,1.9550444467e-02,2.3000000000e-01,-1.0018676985e-03,-2.2149404883e-01,6.3707634807e-02
,,,,3.1333333333e-02,6.3742051520e-04,-7.9782734540e-03,1.9929162810e-02,2.3500000000e-01,-1.1005940614e-03,-2.2796875238e-01,6.3404098153e-02
,,,,3.2000000000e-02,6.4893372864e-04,-8.2769369416e-03,2.0305975729e-02,2.4000000000e-01,-1.1968798935e-03,-2.3440714180e-01,6.3049145043e-02
,,,,3.2666666667e-02,6.6033518352e-04,-8.5805487118e-03,2.0680887181e-02,2.4500000000e-01,-1.2903864263e-03,-2.4080418050e-01,6.2644042075e-02
,,,,3.3333333333e-02,6.7162362746e-04,-8.8890835267e-03,2.1053901116e-02,2.5000000000e-01,-1.3808179647e-03,-2.4715451896e-01,6.2189877033e-02
,,,,3.4000000000e-02,6.8279783481e-04,-9.2025162008e-03,2.1425021481e-02,2.5500000000e-01,-1.4678753214e-03,-2.5345352292e-01,6.1687912792e-02
,,,,3.4666666667e-02,6.9385660640e-04,-9.5208216014e-03,2.1794252217e-02,2.6000000000e-01,-1.5512795653e-03,-2.5969615579e-01,6.1139244586e-02
,,,,3.5333333333e-02,7.0479876936e-04,-9.8439746478e-03,2.2161597257e-02,2.6500000000e-01,-1.6307698097e-03,-2.6587793231e-01,6.0545045882e-02
,,,,3.6000000000e-02,7.1562317690e-04,-1.0171950312e-02,2.2527060532e-02,2.7000000000e-01,-1.7061430262e-03,-2.7199441195e-01,5.9906460345e-02
,,,,3.6666666667e-02,7.2632870807e-04,-1.0504723617e-02,2.2890645965e-02,2.7500000000e-01,-1.7771272687e-03,-2.7804100513e-01,5.9224594384e-02
,,,,3.7333333333e-02,7.3691426756e-04,-1.0842269640e-02,2.3252357474e-02,2.8000000000e-01,-1.8435921520e-03,-2.8401371837e-01,5.8500621468e-02
,,,,3.8000000000e-02,7.4737878549e-04,-1.1184563508e-02,2.3612198972e-02,2.8500000000e-01,-1.9052883144e-03,-2.8990840912e-01,5.7735599577e-02
,,,,3.8666666667e-02,7.5772121721e-04,-1.1531580402e-02,2.3970174366e-02,2.9000000000e-01,-1.9621173851e-03,-2.9572120309e-01,5.6930646300e-02
,,,,3.9333333333e-02,7.6794054306e-04,-1.1883295553e-02,2.4326287559e-02,2.9500000000e-01,-2.0138919353e-03,-3.0144846439e-01,5.6086853147e-02
,,,,4.0000000000e-02,7.7803576820e-04,-1.2239684246e-02,2.4680542447e-02,3.0000000000e-01,-2.0605109166e-03,-3.0708622932e-01,5.5205307901e-02
,,,,4.0666666667e-02,7.8800592234e-04,-1.2600721815e-02,2.5032942920e-02,3.0500000000e-01,-2.1018898115e-03,-3.1263116002e-01,5.4287046194e-02
,,,,4.1333333333e-02,7.9785005960e-04,-1.2966383649e-02,2.5383492865e-02,3.1000000000e-01,-2.1378705278e-03,-3.1807956100e-01,5.3333133459e-02
,,,,4.2000000000e-02,8.0756725828e-04,-1.3336645186e-02,2.5732196161e-02,3.1500000000e-01,-2.1684654057e-03,-3.2342860103e-01,5.2344612777e-02
